Protein accession,Gene name,FY_1,FY_2,FY_3,FY_4,MY_1,MY_2,MY_3,MY_4,FV_1,FV_2,FV_3,FV_4,MV_1,MV_2,MV_3,MV_4,FWT_1,FWT_2,FWT_3,FWT_4,MWT_1,MWT_2,MWT_3,MWT_4,FGES_1,FGES_2,FGES_3,FGES_4,MGES_1,MGES_2,MGES_3,MGES_4
A0A7N9CE32,SCP2,1.15433794,1.27009206,1.220449214,1.184201814,0.443935633,0.502718495,0.468190739,0.460574953,0.785281161,0.8282646,0.696188422,0.754320669,1.55255357,1.544453464,1.500059977,1.412345866,0.566507023,0.578388201,0.54415165,0.695129354,1.27016103,1.385010881,1.419794592,1.218479747,1.140842872,1.278399076,1.317152375,1.194516613,0.892804898,0.937972378,0.865753455,0.916967278
A0A7N9I9Q2,PLCG2,0.389964252,0.402966613,0.405118188,0.402651438,1.11186856,1.207842271,1.20007219,1.244214996,1.212797633,1.243094574,1.243877958,1.149079324,1.068108337,1.076060601,1.124029238,1.11176836,0.994952977,1.006211852,1.020813775,0.998250479,1.139806238,1.150600547,1.174193174,1.162624589,1.132874196,1.099562136,1.135023948,1.154654107,0.794097744,0.792851616,0.813579424,0.836388666
G7NZL0,DHX36,,0.349067112,,,0.801064857,0.6987005,1.024209076,0.493675568,1.568245492,1.12787756,1.123853617,0.976391084,1.100410105,0.988012818,1.320480585,1.297402537,1.25902504,1.36612888,1.304246319,1.22730667,0.51407227,0.606672985,0.674737646,0.666751311,1.296236902,,0.947865709,1.023739744,,1.243825612,,
G7NZU6,PRKCD,0.400022148,0.355616675,0.362108148,0.362485457,1.326297135,1.105311232,1.172637651,1.02480549,1.268891064,1.134785434,1.125008507,1.172052933,1.143851873,1.085589686,1.217438084,1.244361591,1.242272052,1.227969628,1.192480554,1.230871153,0.859579622,0.864800161,1.018479503,0.964043358,1.121067728,1.055387346,1.112969935,1.059652478,0.818320595,0.888396292,0.934765534,0.907680954
G7P4M4,FLOT1,1.569181937,1.691571638,1.374310363,1.538178342,0.769387165,0.919865836,1.005590061,1.025180088,0.771269016,0.689961629,0.749862452,0.719769167,1.18259834,1.011011098,1.04722346,1.018248672,0.622063961,0.511426644,0.591235897,0.560665006,1.21923524,1.362876385,1.398272325,1.175250549,1.324712776,1.162302109,1.257753992,1.079039394,0.499237475,0.699962789,0.814959796,0.637796398
G7P6D2,SMAD1,0.545957385,,0.298645658,,2.053108025,1.39882949,1.874825272,2.058283976,0.997137358,0.698627809,0.680286731,0.759750996,0.917577242,1.518058477,,1.231579179,0.969168053,0.963062348,0.79456981,1.208306571,0.607656637,0.944477809,0.848839655,1.028940701,0.855880865,0.575326114,0.94090832,0.856341908,,0.782003751,,0.591849858
G7P9I7,IGF1R,,,,,1.678137459,1.433233978,0.895707051,1.608885068,,,0.457096186,0.833129915,1.783218673,0.843534664,,0.838284995,0.668045727,,,0.893862573,0.960635391,0.792064936,0.786740947,,,0.975377705,1.145495359,,,,,0.406549373
G7PFA6,HMOX1,0.741567379,1.007031447,0.874372775,0.959276059,1.032721518,,,1.299352711,0.664827295,0.758010491,0.472772005,0.695189197,,0.577212948,0.904234481,0.902333736,1.300970011,1.159504553,0.903247428,1.093128532,0.891656217,,0.496968157,0.921331184,1.310853886,1.052112453,0.940138557,1.142041041,1.305568481,1.925791623,1.437516874,1.230268961
G7PKM2,ACVR1,,0.832506549,1.06443629,0.773728731,1.153491028,1.334765928,0.414404764,0.846203251,0.921786813,0.804114386,0.415910958,0.765219136,1.168109971,1.08687214,1.783096306,1.921891697,0.596799241,1.216646475,0.497044081,0.586203527,0.939212755,1.088571642,1.904848345,0.884135986,,,,,,,,
G8F2Z7,SFRP2,1.458706602,0.96919654,,0.929648062,0.666049068,0.657759733,0.604290066,0.196393565,0.495559206,0.324030824,0.475548085,,0.482328272,0.601927511,,,1.243839615,0.517685019,1.415713124,1.330987453,1.017969335,0.528013744,0.823527622,0.82969913,1.111373394,,0.941078059,,2.726416492,2.24581072,,2.406448759
G8F3M1,RHOA,0.285140781,0.243186701,0.240914985,0.277776544,1.067301617,1.092181487,1.139730072,1.149512718,1.243556124,1.332618712,1.216771942,1.172185471,1.322729747,1.480868393,1.344979917,1.405960968,1.400066348,1.362007024,1.162896734,1.229359243,1.031717225,1.00641881,1.015434348,1.099533612,1.133188121,0.959536398,1.091522043,1.028938141,0.63257208,0.592200665,0.580373743,0.658819286
G8F5P8,APEX1,0.661629997,0.717673177,0.584470875,0.501609433,1.560009993,1.504836766,1.592035273,1.396463051,0.682405153,0.774973662,0.620189751,0.684447744,1.471329814,1.495390049,1.573840342,1.495411216,0.884498848,0.895772254,1.036423133,0.786600553,0.704380464,0.735656441,0.730250455,0.815325938,0.857936704,1.043543625,0.934581474,0.931069912,0.942690453,1.184353254,0.990065853,1.210134345
P10517,APOE,1.242247692,1.325697128,1.298657247,1.292093477,0.626633428,0.585016958,0.594909357,0.637175315,0.801673048,0.819081309,0.780517927,0.777408255,1.081767439,1.101815477,1.052555216,1.137571789,0.839387666,0.843095163,0.819438036,0.875640936,0.470716816,0.474724456,0.482850443,0.455854845,1.287224773,1.361227103,1.316031065,1.35811743,1.509271126,1.584948841,1.573917377,1.592732863
P18658,APOC2,1.02423691,1.232630247,1.269363945,1.323700002,0.543628144,0.510622605,0.478310839,0.572063313,0.769209743,0.862420067,0.678509491,0.742809388,0.950527427,0.936600985,0.771133707,0.966237676,0.91431613,0.838243101,0.956796237,0.9033266,1.106190133,1.008284572,1.225514128,1.060409982,1.245129643,1.123550405,1.50900577,1.321514837,1.253768368,1.545803175,1.079299232,1.276843195
P47896,CETP,,,,,,,,,0.976333711,0.487236933,1.17595496,1.360474396,,,,,,,,,,,,,,,,,,,,
P61271,RAB5A,0.506282397,0.894135554,0.821257167,0.602755016,0.63021343,0.791207734,0.679847133,0.879509865,0.929606441,0.868906374,1.363482368,1.111445943,1.01368952,0.683954457,1.461946399,1.344515259,1.622515075,1.296413822,1.052262181,1.51168119,1.022202108,1.123762593,1.529605506,0.680884605,1.378682656,0.534638357,1.459600118,1.122544229,0.837856712,0.956490255,0.774512423,0.513593114
P67992,PRNP,1.155441628,,0.67749631,1.409296327,0.901043871,0.256343905,1.746334399,1.572373688,0.69267537,0.598701741,,0.780489155,0.207397201,1.26481819,1.106114118,1.165125815,0.230731458,1.477356056,1.511936737,0.339361036,0.890792242,1.016094847,1.103655944,1.375311902,,1.019377585,1.310508312,1.386283915,,,1.110321164,0.694617084
Q4R4K6,RPS6,0.699560037,0.820089383,0.51444006,0.508673594,1.579721828,1.422086848,1.19654245,1.373392081,0.731282256,0.88290822,0.788333148,0.570911199,1.693128501,1.472476503,1.546607908,1.208638866,1.234468907,0.594394131,0.793716563,0.771913731,0.858360438,0.769347735,0.741553635,0.91228185,0.779457907,1.234576871,0.859327678,1.021321153,1.151126538,1.216671099,1.068535481,0.984153403
Q4R4X4,VIM,0.977211548,1.080002337,0.840109283,0.906788271,0.944792326,0.864173283,0.946305364,0.95983077,1.417170294,1.251770398,1.197435114,1.302303935,1.422034997,1.423586339,1.347982345,1.306507881,0.85170413,0.698837547,0.842132732,0.699364237,1.020467184,0.944435134,0.924580826,0.95757079,0.829076559,0.693457645,0.79924578,0.836925201,0.708981601,1.028338809,0.94873963,1.028137709
Q4R549,MIF,0.338468651,0.249261963,0.284588455,0.337473565,2.068390892,2.511948936,2.197831644,2.204219147,1.443006992,1.051197197,1.275423182,0.981632174,0.931521552,0.975983878,1.270294226,1.011647751,1.129261198,0.993588366,1.21402734,1.04299769,0.989513253,0.992530732,1.069165602,0.929212953,0.788680312,0.696950466,0.956828952,0.763471474,0.31316997,0.361251755,0.327648183,0.298811547
Q4R5P1,RAB8A,0.434520871,0.354392684,0.374417455,0.417750224,0.743260568,0.812176577,0.905895364,0.825939143,1.084951584,1.113394749,1.367055081,1.428917841,1.334151384,1.371788113,1.336762621,1.183215563,1.533959923,1.282246775,1.453090959,1.262396615,1.060140868,1.137940901,1.216121905,1.03202047,1.119455887,1.050227694,0.975277004,1.059453004,0.700679158,0.707888499,0.718515994,0.601994524
Q4R6K8,CALR,1.271256529,1.555603863,1.171704794,1.566774839,0.3382574,0.591932876,0.44318081,0.395157913,0.807444267,0.730263774,0.89525974,0.785872625,1.169180048,1.555931904,1.568497056,1.550952706,0.463967496,0.604515601,0.490743864,0.44873408,2.171630198,2.009905857,1.562012383,2.188114271,0.809869429,0.752060944,0.954110927,0.783605626,0.603141929,0.537466311,0.619362397,0.603487544
Q4R834,SIRT2,0.178205699,0.359748384,0.394876295,0.541951589,1.337514177,1.633561789,1.671989435,1.677534363,1.386482918,1.755664845,1.521029825,1.609161237,1.217568915,0.754693454,0.950416542,0.878985825,1.097010416,1.235066246,1.055656997,0.903456584,1.075350807,1.17539307,1.075287764,1.28987937,0.621884531,0.881577757,0.555832538,0.781297649,0.437854508,,0.328649501,0.616416973
Q4R844,HMGB1,0.440234256,0.279446807,0.42783698,0.318454407,2.024576565,2.15493013,2.515583525,2.07061093,0.566928704,0.596522645,0.412138031,0.502903027,1.560835735,1.976238021,1.967434872,2.143714485,0.598229117,0.706054891,0.770702894,0.711474638,0.514986186,0.615136284,0.574080524,0.5291628,0.765692779,0.638537496,0.804545783,0.593810803,0.833401205,1.059843996,1.00783255,1.318118935
Q5VAN0,CD38,0.821559173,0.858383796,0.725621867,0.738160618,1.471571445,1.394056439,1.422457797,1.272359877,0.988126535,1.021644782,0.97179694,0.941859765,1.102566054,1.042299635,1.154119526,1.066415692,1.039465243,1.046200358,0.943410565,1.057962461,0.981416392,0.839257268,0.857956764,0.947575998,1.186908573,1.190921673,1.179354356,1.22541635,0.646009161,0.62040973,0.541296477,0.70343869
Q6LDD9,HPRT1,0.877052886,0.861190662,0.625972168,0.587383942,0.842717576,0.64598331,1.027218554,1.028794924,0.794315352,0.960315876,1.016545215,1.017689178,1.291183908,1.157756225,1.029856784,1.244982034,0.958263311,1.124526563,1.074296188,1.18123757,0.841962232,0.961832038,0.909417733,0.849055897,1.267883188,1.117996669,0.984360993,1.076403488,0.957239765,1.309547524,1.284068348,1.0929499
Q8HXQ1,SOD1,0.687234246,0.22260264,0.737537028,0.446645649,2.144168717,2.122723033,1.552827311,1.173527324,1.255402769,1.800647056,1.13115989,1.567124434,0.704865883,0.785607327,1.148760446,0.664061364,0.858273116,1.175649692,1.522510308,0.545277143,1.413834419,0.581463071,1.083863944,1.276857333,1.342135684,0.415910388,0.606770753,1.147943468,0.244907039,0.725803619,0.605393434,0.308511472
Q8HXX0,PAFAH1B1,0.351309297,0.291925755,0.48614354,0.323455857,1.153442337,1.184678553,1.149837605,1.067220598,1.272634838,1.358077675,1.073725146,1.243671617,1.180264092,1.045413407,1.131727628,1.152651104,1.139954391,1.327379908,1.288973276,1.070591043,0.857509041,0.78851562,0.807897734,0.839434002,1.030891722,1.025616153,1.089525135,1.104648979,0.994392268,1.089091498,1.024251534,1.05514865
Q9GLG1,CAPN2,0.924642928,0.858239152,0.971118906,1.022148896,1.231809389,1.188458294,1.254771417,1.296930683,1.185845337,1.212756131,1.210855071,1.197758289,1.0272175,1.072917589,1.104595697,1.029921111,0.931279307,1.027196169,1.032918013,0.971721486,0.84421717,0.852410657,0.855738178,0.930866033,0.894281965,1.0337019,0.965501048,0.964079919,0.731985322,0.668157174,0.703464093,0.802495174
Q9GLG2,CAPN1,1.122472916,1.025693655,1.09071583,0.961257926,1.327126782,1.3336667,1.313727544,1.309376325,0.637309471,0.640304533,0.648687566,0.638356695,1.125515104,1.153627848,1.111126238,1.085715333,1.181887203,1.1178756,1.094313047,1.162435007,1.090977637,1.022850441,1.047753441,1.056324975,1.04401485,1.053429399,0.995832046,1.032322587,0.641948676,0.601159278,0.637707416,0.694487933
Q9N0A4,PTGES2,0.792364969,0.754494676,0.781838502,,1.236800529,0.674143686,1.049435663,0.878906897,1.213511111,1.011827751,0.96548006,1.10571634,0.979355006,1.081677263,1.185423873,1.243997259,1.219627082,0.99948336,1.143055624,1.276751126,1.127518934,1.142855715,0.840080788,1.050622623,0.902208809,0.825268769,,0.698445144,1.086100253,0.779302155,1.014913849,0.938792186
Q9TSM6,PTP4A1,0.341419751,0.649882041,0.581625637,0.435843058,1.576300618,1.155829219,1.328477769,1.62885532,0.798715563,1.353672737,1.797992946,0.940238777,1.398594884,1.266460986,1.275468284,0.797577307,0.815311238,1.233630864,1.001933314,0.871758881,0.736584435,0.912187773,0.813606452,0.73010313,1.174854733,1.275346143,1.087718347,1.018482211,0.556563206,0.827691725,0.901517269,0.715755382
A0A2K5TK93,MAP2K1,0.512570841,0.692483036,0.315404075,0.422427068,0.70792245,0.878556754,0.765256747,1.052318977,0.87593315,1.118578914,0.737500064,1.046598251,1.326032206,1.445709321,1.632785897,1.966489749,1.352125798,0.710857883,0.890121396,0.980530802,0.880248718,0.987791427,0.866408874,1.147559816,0.91625926,0.992505443,1.456954434,1.583235791,0.729850615,0.587051914,1.254963934,1.166966396
A0A2K5TKQ7,CD63,0.890551385,0.647030908,0.961684675,0.90735064,1.325946737,0.749891409,1.527925144,1.633986864,1.098458181,1.047271872,1.44067785,0.849054507,1.285993748,1.369164582,1.158682793,1.31863309,1.002744395,1.012492851,0.671971091,1.171419422,0.899229079,1.108474096,1.102949664,1.576538303,0.674844903,0.742171961,0.708328127,0.862458864,,0.472356478,0.429779614,0.351936767
A0A2K5TM77,FXR1,0.539669371,0.28639698,0.415689506,0.463436382,0.985176166,1.189853789,1.09319225,1.147866739,1.20378813,1.363873109,1.179446889,1.163486548,0.99464746,1.121642247,1.030523831,1.176990923,1.582865163,1.446407682,1.390831983,1.635596206,1.160714126,1.455620995,1.284178032,1.174067154,0.893712058,0.903370816,0.734005449,0.944525451,0.396679845,0.56808841,0.549243856,0.524412454
A0A2K5TN63,CARD9,1.143730295,0.401260795,0.45824511,,0.704431294,0.444928239,1.020157989,1.12850466,1.021350967,1.024525502,1.07995652,1.159970972,0.897414702,1.170085,1.202902006,1.967730342,1.538610072,0.939674433,1.608805709,1.506949648,0.545397211,0.795522245,0.489852962,0.660606538,1.663249992,1.515049767,1.116247316,1.040919851,0.962535128,0.934413198,0.488279848,0.368691685
