Protein accession,Gene name,FY_1,FY_2,FY_3,FY_4,MY_1,MY_2,MY_3,MY_4,FV_1,FV_2,FV_3,FV_4,MV_1,MV_2,MV_3,MV_4,FWT_1,FWT_2,FWT_3,FWT_4,MWT_1,MWT_2,MWT_3,MWT_4,FGES_1,FGES_2,FGES_3,FGES_4,MGES_1,MGES_2,MGES_3,MGES_4
A0A2K5UNF2,VCP,1.123873143,1.087181937,1.120025222,1.08637445,1.375372285,1.564299448,1.524229982,1.457711207,0.908785059,0.962985542,0.896409089,0.912245716,0.94826127,0.94146355,0.874046652,0.824691089,0.842167408,0.841343442,0.815096005,0.835756952,1.148130702,1.061589553,1.14599663,1.107772847,0.929771473,0.940598386,0.91286369,0.950065755,0.729929231,0.693914501,0.721024631,0.716023157
A0A2K5UPQ6,INPP5K,0.811037358,1.592576188,2.04283338,0.786943439,,,,,,0.930173632,,0.909864746,1.122090946,1.56027978,0.538076602,0.967979259,,,,,0.60747679,0.543738935,0.370963615,1.148414991,,,1.06755034,,,,,
A0A2K5UQX0,STK4,0.546754396,0.691516262,0.868045998,0.605714353,1.333040482,1.375914833,1.135681157,1.147887818,1.019906677,1.228350172,1.01210073,1.023962405,1.057384833,1.255346596,1.136692085,1.178521181,1.017199997,1.099219078,1.188990899,1.20465085,1.113790865,0.914074996,0.990050818,1.013183745,1.094227941,1.01430452,1.095652509,1.00517012,0.777944639,0.551144812,0.831341915,0.472232319
A0A2K5US25,CORO1A,0.772433848,0.677625649,0.684863146,0.736482558,0.970105111,0.971028407,1.24632812,1.28673843,1.38745644,1.196012058,1.38184509,1.390254958,0.895375382,0.949105492,0.784257765,0.959927382,1.291834452,1.501980949,1.389510595,1.340704732,1.069012316,1.083505918,0.953070655,1.055434853,1.019533663,0.884596437,1.017687071,0.896606444,0.540211985,0.560030644,0.573520788,0.532918661
A0A2K5UT59,PRKCB,0.327741327,0.329764413,0.341040124,0.340692848,1.224774832,1.183431455,1.212263463,1.278145006,1.146126174,1.124737724,1.074456693,1.098436256,1.185477424,1.181324915,1.155198431,1.213656607,1.265196177,1.215978512,1.240947408,1.186742694,1.110126545,1.038860873,1.050833829,1.131165027,1.075210471,1.108444005,1.102030161,1.119912198,0.710974175,0.748932281,0.748165043,0.72921291
A0A2K5UX81,PDGFB,0.652880246,0.632801159,0.565915572,0.403736951,1.924899635,1.398080997,1.663010899,1.554838316,1.161345237,0.975005187,0.958661032,1.092443821,0.839836977,0.895701505,1.030182285,0.958948253,1.187606972,0.994326094,0.909198791,0.984866801,1.210225643,1.068642474,1.12313003,1.359285012,0.975394836,1.066129288,0.994977621,0.907379371,0.504793417,0.635505474,0.648163271,0.722086834
A0A2K5UXZ0,TF,1.17644708,1.160381627,1.295034506,1.134226223,0.992749504,0.990395358,1.024912221,1.011200914,0.953969729,0.969329998,0.997091948,0.954632495,0.875206597,0.875307337,0.918047802,0.900131907,0.726344011,0.743501702,0.700236326,0.746105047,0.969340602,0.928964887,0.960910217,0.997155573,1.210014861,1.134554955,1.094163333,1.231838426,1.016227333,1.170137546,1.125859463,1.015580473
A0A2K5UZ51,F2,0.974329673,0.960367088,0.962288258,0.979352774,0.460734127,0.470012641,0.417922807,0.450520358,0.811143179,0.811287365,0.809958522,0.777579198,0.82519929,0.895955264,0.909797045,0.900456181,0.734495096,0.725076294,0.773292611,0.78530285,0.48585353,0.470893339,0.481816344,0.511004109,1.215052742,1.081556713,1.214265569,1.161552232,2.4706605,2.523654413,2.334658766,2.613961124
A0A2K5V0S9,BMPR2,0.920341866,0.974152649,0.856156238,0.917640723,,0.961913793,0.822983526,1.069446066,0.886856624,1.001208724,,0.822151976,1.229198573,1.204692957,0.926637091,,,0.914615889,0.884507076,,1.289354809,1.089927872,,1.136243542,1.019938136,,1.114199091,1.126175646,0.905987859,1.069613492,,0.856055783
A0A2K5V2B8,STAT5B,0.55272761,0.643991033,0.591211106,0.984110408,1.370619207,1.121320882,1.488936154,1.349382296,1.507751968,1.735257426,1.714355283,1.546800386,1.276686599,1.262067355,1.317035237,0.715515038,0.906647241,0.6861809,0.596295411,0.905376912,0.877970685,1.174857029,0.940662168,0.907735241,1.18815812,1.143358848,0.928990086,0.460606342,0.838312509,0.175234858,0.855104764,0.236740899
